--- Telegram Scrape Report ---
Timestamp: 2025-08-15 16:03:27
persian_proxy6: 12 configs
v2ray_reality_new: 12 configs
v2rayexpress: 12 configs
v2rayngvpn_1: 12 configs
mcv2rayng: 11 configs
confing_chanel: 11 configs
custom_14: 11 configs
foxnt: 11 configs
imhdiyvp: 11 configs
iranproxypro: 11 configs
mimitdl: 11 configs
net_azad_1: 11 configs
proxy_emperor: 11 configs
renetvpn: 11 configs
v2rplus: 11 configs
v2ryngfree: 11 configs
vipvpn_v2ray: 11 configs
vp22ray: 11 configs
vpnv2rayonline: 11 configs
configx2ray: 10 configs
ghalagyann: 10 configs
vpnkanfik: 10 configs
ConfigX2ray: 10 configs
catvpns: 10 configs
eliteproxyv2: 10 configs
ge2ray: 10 configs
grizzlyvpn: 10 configs
kingofilter: 10 configs
kurdvpn1: 10 configs
limootuursh: 10 configs
mahanvpn: 10 configs
maxvpnc: 10 configs
merdesert: 10 configs
n2vpn: 10 configs
new_proxy_channel: 10 configs
pistachiovpn: 10 configs
pusyvpn: 10 configs
v2ray_iran88: 10 configs
v2rayng_o: 10 configs
v2rayshop_m: 10 configs
vpn_bal0uch: 10 configs
vpn_ocean: 10 configs
vpnv2raytop: 10 configs
DALTON_PING: 9 configs
dalton_ping: 9 configs
lightning6: 9 configs
SafeNet_Server: 9 configs
configasli: 9 configs
configforvpn01: 9 configs
freev2raym: 9 configs
ipv2rayng: 9 configs
irv2rey: 9 configs
lemonshopvpn: 9 configs
mt_proxy: 9 configs
pro_chaneel: 9 configs
shahedtec: 9 configs
v2ray_fark: 9 configs
v2ray_inter: 9 configs
v2raybe: 9 configs
v2rayng_ip: 9 configs
v2rayturbo: 9 configs
vpncostumer: 9 configs
wbrovers: 9 configs
tehranargo: 8 configs
ch_a2l: 8 configs
dargiiriis: 8 configs
ehsawn8: 8 configs
flyv2ray: 8 configs
gervpn: 8 configs
goodbyefiltering: 8 configs
iraniv2ray: 8 configs
iranvipnet: 8 configs
lakvpn1: 8 configs
tehranfreevpn: 8 configs
v2ang: 8 configs
v2ray4win: 8 configs
vip_vpn_2022: 8 configs
vpncostume: 8 configs
xsv2ray: 8 configs
skivpn: 7 configs
v2ngfast: 7 configs
free_vip3: 7 configs
hackmodvpnservers: 7 configs
iranbfilter: 7 configs
mrvpn1403: 7 configs
outlineopenkey: 7 configs
tc_v2ray: 7 configs
teamvpnpro: 7 configs
v2rayang201: 7 configs
v2rayngchannelll: 7 configs
vboxpanel: 7 configs
vpnfastservice: 7 configs
xrayzxn: 7 configs
confingv2raayng: 6 configs
mdvpnsec: 6 configs
v2ray_rolly: 6 configs
v2raymelliii: 6 configs
configms: 6 configs
configv2rayforfree: 6 configs
deragv2ray: 6 configs
fati_ffx: 6 configs
free_omega: 6 configs
freenapsternetv: 6 configs
hormozvpn: 6 configs
kopltall_vpn: 6 configs
mainmat: 6 configs
nofilter_v2rayng: 6 configs
prooxyk: 6 configs
rnrifci: 6 configs
v2rayngfreee: 6 configs
vaslbemmonid: 6 configs
vpnfree_irann: 6 configs
v2ray_god: 5 configs
PRIMESOBI: 5 configs
configsstore: 5 configs
confingv2raay: 5 configs
dashv2ray: 5 configs
freeshadowsock: 5 configs
freevmess: 5 configs
iseqaro: 5 configs
jedal_vpn: 5 configs
mahdivpn2: 5 configs
mahsaproxy: 5 configs
netazadchannel: 5 configs
next_serverpanel: 5 configs
vipnetmeli: 5 configs
vpn_proxy_v2ry: 5 configs
womanlifefreedomvpn: 5 configs
fnet00: 4 configs
isvvpn: 4 configs
lexernet: 4 configs
abiidar_server: 4 configs
avaalvpn: 4 configs
configscenter: 4 configs
filter5050: 4 configs
fsv2ray: 4 configs
ghalagyann2: 4 configs
komail315: 4 configs
kurdistan_vpn_perfectt: 4 configs
loatvpn: 4 configs
lombo_channel: 4 configs
proxy_confiingir: 4 configs
proxy_iranv2: 4 configs
pydriclub: 4 configs
uvpnir: 4 configs
vpn_arta: 4 configs
vpnzamin: 4 configs
zerobaipiao: 4 configs
Subify_ir: 3 configs
amirinventor2010: 3 configs
bypass_filter: 3 configs
custom_config: 3 configs
darkfiilter: 3 configs
easy_free_vpn: 3 configs
f_nirevil: 3 configs
goldenvpn_v2rayy: 3 configs
internet_nor: 3 configs
kesslervpn: 3 configs
mdvpn184: 3 configs
mehduox_vpn: 3 configs
mi_pn_official: 3 configs
nationalproxytelegram: 3 configs
proxse11: 3 configs
proxysudo: 3 configs
vpnepic: 3 configs
vpnmeg: 3 configs
colsvpn: 2 configs
armod_iran: 2 configs
artemis_vpn_free: 2 configs
bolbolvpn: 2 configs
configfast: 2 configs
deli_servers: 2 configs
drvpn_net: 2 configs
fasst_vpn: 2 configs
fast_ss: 2 configs
fire_vpn_channel: 2 configs
flash_proxies: 2 configs
happ_tm_official: 2 configs
hiddify_f: 2 configs
iranvpnet: 2 configs
jetupnet: 2 configs
kilid_stor: 2 configs
lazarus2050: 2 configs
magickey_shop: 2 configs
magicvpn_shop: 2 configs
marzazad: 2 configs
nitrovpne: 2 configs
oonfig: 2 configs
orgempirenet: 2 configs
proxygodratmand: 2 configs
savagenet: 2 configs
toucan_vpn: 2 configs
v2rayng_my2: 2 configs
vipv2rayvip: 2 configs
vpnfree85: 2 configs
zerov2shop: 2 configs
ineronix: 1 configs
sinavm: 1 configs
WedBaZtel: 1 configs
eleutheriavpn: 1 configs
farstar_vpn: 1 configs
fast_config_info: 1 configs
godv2rang: 1 configs
iranmedicalvpn: 1 configs
irlast: 1 configs
lax_vpn: 1 configs
luckyvpn: 1 configs
migping: 1 configs
miyanbor_vpn: 1 configs
moon_ping: 1 configs
mpmehi: 1 configs
napsterntvtm: 1 configs
novavpn1984: 1 configs
ntconfig: 1 configs
ntgreenplus: 1 configs
proxy_kuto: 1 configs
proxygrizzly: 1 configs
rez1vpn: 1 configs
server444: 1 configs
shadowsocksshop: 1 configs
shopingv2ray: 1 configs
srv2ray: 1 configs
tehranargo1: 1 configs
vaiking_vpn: 1 configs
xyzquantvpn: 1 configs

--- Failed Channels ---
